aX,aY,aZ,gX,gY,gZ
2.51,-1.495,9.621,0.004,0.007,0.005
2.503,-1.504,9.625,0.004,0.01,0.004
2.513,-1.523,9.601,0.003,0.01,0.009
2.489,-1.551,9.614,0.008,0.001,0.008
2.482,-1.529,9.589,0.008,-0.006,0.008
2.497,-1.534,9.636,0.003,-0.005,0.007
2.487,-1.508,9.607,-0.007,0,0.01
2.489,-1.512,9.625,-0.003,-0.001,0.009
2.471,-1.494,9.56,-0.003,0.005,0.01
2.458,-1.512,9.621,0,0.008,0.009
2.446,-1.504,9.612,0.011,-0.003,0.009
2.475,-1.502,9.662,0.006,-0.002,0.011
2.458,-1.481,9.61,-0.003,-0.002,0.013
2.462,-1.446,9.673,-0.007,-0.003,0.012
2.458,-1.441,9.585,-0.015,0.002,0.01
2.436,-1.438,9.596,-0.012,0,0.008
2.43,-1.476,9.571,-0.014,0.009,0.007
2.419,-1.512,9.612,-0.005,0.004,0.003
2.455,-1.485,9.645,0.005,-0.005,0.005
2.461,-1.489,9.671,-0.008,0.004,0.009
2.433,-1.473,9.62,-0.013,0.005,0.01
2.453,-1.487,9.643,-0.011,0,0.008
2.458,-1.522,9.583,-0.014,0.006,0.009
2.436,-1.539,9.553,-0.005,0,0.004
2.462,-1.56,9.601,-0.004,-0.002,0.004
2.448,-1.547,9.623,-0.007,-0.003,0.015
2.458,-1.497,9.656,-0.002,-0.004,0.014
2.468,-1.494,9.559,0,-0.003,0.016
2.456,-1.489,9.574,-0.001,-0.006,0.013
2.462,-1.513,9.5,-0.006,-0.004,0.006
2.441,-1.52,9.576,-0.01,-0.001,0.003
2.458,-1.531,9.56,-0.004,-0.005,0.003
2.465,-1.532,9.61,-0.008,0.006,0.005
2.476,-1.553,9.605,-0.017,0.019,0.013
2.468,-1.555,9.585,-0.017,0.013,0.009
2.445,-1.518,9.569,-0.025,0.016,0.01
2.477,-1.506,9.549,-0.027,0.017,0.015
2.457,-1.509,9.56,-0.02,0.012,0.01
2.465,-1.512,9.534,-0.009,0.007,0.007
2.492,-1.535,9.557,-0.004,0.007,0.004
2.471,-1.534,9.543,0.006,0.003,0.004
2.461,-1.541,9.562,0,0.005,0.001
2.458,-1.522,9.518,-0.009,0.01,0.002
2.487,-1.475,9.546,-0.014,0.015,0.004
2.489,-1.477,9.579,-0.007,0.009,0.004
2.476,-1.485,9.627,0,0.003,0.001
2.445,-1.483,9.531,0.005,-0.001,0.004
2.481,-1.481,9.583,0.005,0.005,0.003
2.474,-1.476,9.527,-0.001,0.01,0.006
2.477,-1.501,9.594,-0.002,0.011,0.007
2.486,-1.516,9.584,-0.005,0.01,0.014
2.491,-1.524,9.608,0.006,0.002,0.01
2.486,-1.51,9.575,-0.002,0.011,0.013
2.496,-1.503,9.581,0.001,0.009,0.011
2.475,-1.512,9.572,0.005,0.006,0.01
2.526,-1.534,9.574,0.003,0.01,0.013
2.497,-1.532,9.618,0.002,0.009,0.009
2.493,-1.516,9.614,0.009,-0.001,0.005
2.461,-1.487,9.578,0.004,0.005,0.013
2.472,-1.452,9.546,0.007,0.008,0.016
2.48,-1.459,9.548,0.007,0.01,0.014
2.452,-1.454,9.607,0.011,0.007,0.009
2.462,-1.471,9.616,0.009,0.008,0.01
2.458,-1.473,9.635,0.003,0.012,0.009
2.462,-1.478,9.623,0.004,0.009,0.014
